,img_url,painting_artist,painting_name
0,http://media.tate.org.uk/art/images/work/N/N03/N03992_10.jpg,Edwin Austin Abbey,Illustration to Judith Shakespeare
1,http://media.tate.org.uk/art/images/work/T/T01/T01067_10.jpg,Lemuel Francis Abbott,Portrait of the Engraver Francesco Bartolozzi
2,http://media.tate.org.uk/art/images/work/T/T13/T13592_10.jpg,Tomma Abts,Zebe
3,http://media.tate.org.uk/art/images/work/T/T03/T03562_10.jpg,Roger Ackling,Five Sunsets in One Hour
4,http://media.tate.org.uk/art/images/work/P/P77/P77815_10.jpg,Norman Ackroyd,Cartmel Fell
5,http://media.tate.org.uk/art/images/work/T/T05/T05820_10.jpg,Norman Adams,Christs Cross and Adams Tree
6,http://media.tate.org.uk/art/images/work/T/T00/T00372_10.jpg,Jankel Adler,The Mutilated
7,http://media.tate.org.uk/art/images/work/T/T07/T07229_10.jpg,Mary Adshead,The Cruise
8,http://media.tate.org.uk/art/images/work/T/T06/T06749_10.jpg,Eileen Agar,Figures in a Garden
9,http://media.tate.org.uk/art/images/work/T/T02/T02351_10.jpg,Jacques Laurent Agasse,Lord Riverss Groom Leading a Chestnut Hunter towards a Coursing Party in Hampshire
10,http://media.tate.org.uk/art/images/work/T/T06/T06680_10.jpg,Craigie Aitchison,Model and Dog
11,http://media.tate.org.uk/art/images/work/T/T12/T12215_10.jpg,Josef Albers,Homage to the Square: Study for Nocturne
12,http://media.tate.org.uk/art/images/work/T/T07/T07626_10.jpg,John Aldridge,Head and Fruit
13,http://media.tate.org.uk/art/images/work/P/P77/P77242_10.jpg,Pierre Alechinsky,The Night
14,http://media.tate.org.uk/art/images/work/N/N00/N00373_10.jpg,Sir William Allan,Tartar Robbers Dividing Spoil
15,http://media.tate.org.uk/art/images/work/N/N01/N01904_10.jpg,Joseph William Allen,A Landscape
16,http://media.tate.org.uk/art/images/work/T/T06/T06384_10.jpg,Thomas Allom,"South View of Lowther Castle, the Seat of William Lowther, Earl of Lonsdale, engraved by J. Thomas"
17,http://media.tate.org.uk/art/images/work/N/N04/N04949_10.jpg,Sir Lawrence Alma-Tadema,A Priestess of Apollo
18,http://media.tate.org.uk/art/images/work/T/T13/T13491_10.jpg,Helena Almeida,Drawing (with pigment)
19,http://media.tate.org.uk/art/images/work/T/T08/T08734_10.jpg,Giacomo Amiconi,Portrait of a Man
20,http://media.tate.org.uk/art/images/work/T/T00/T00394_10.jpg,Cuno Amiet,Landscape from the Jura Mountains
21,http://media.tate.org.uk/art/images/work/T/T12/T12889_10.jpg,Hurvin Anderson,Jersey
22,http://media.tate.org.uk/art/images/work/T/T03/T03543_10.jpg,Henry Anderton,Mountain Landscape with Dancing Shepherd
23,http://media.tate.org.uk/art/images/work/T/T00/T00789_10.jpg,Peter Angellis,Conversation Piece
24,http://media.tate.org.uk/art/images/work/T/T03/T03538_10.jpg,Boris Anrep,Nude and Ruins
25,http://media.tate.org.uk/art/images/work/N/N04/N04798_10.jpg,Richard Ansdell,A Ploughing Match
26,http://media.tate.org.uk/art/images/work/N/N03/N03029_10.jpg,Fred Appleyard,A Secret
27,http://media.tate.org.uk/art/images/work/T/T01/T01066_10.jpg,Edward Ardizzone,View from the Window of My Studio in Kent
28,http://media.tate.org.uk/art/images/work/T/T00/T00608_10.jpg,Mordecai Ardon,"Missa Dura: The Knight, Crystal Night, House No. 5"
29,http://media.tate.org.uk/art/images/work/T/T06/T06638_10.jpg,Avigdor Arikha,Jerusalem Seen from the South
30,http://media.tate.org.uk/art/images/work/N/N00/N00759_10.jpg,Edward Armitage,The Remorse of Judas
31,http://media.tate.org.uk/art/images/work/N/N02/N02054_10.jpg,Henry Hugh Armstead,Hero and Leander
32,http://media.tate.org.uk/art/images/work/T/T01/T01061_10.jpg,John Armstrong,Tocsin III
33,http://media.tate.org.uk/art/images/work/N/N01/N01156_10.jpg,George Arnald,View on the Ouse at York
34,http://media.tate.org.uk/art/images/work/T/T05/T05504_10.jpg,Jean Arp,Moustaches
35,http://media.tate.org.uk/art/images/work/T/T12/T12406_10.jpg,born 1945; Mel Ramsden Art & Language (Michael Baldwin born 1944),"Portrait of V.I. Lenin with Cap, in the Style of Jackson Pollock III"
36,http://media.tate.org.uk/art/images/work/T/T00/T00964_10.jpg,Samuel Atkins,"Shakespeares Cliff, Dover"
37,http://media.tate.org.uk/art/images/work/T/T00/T00717_10.jpg,Lawrence Atkinson,The Lake
38,http://media.tate.org.uk/art/images/work/N/N04/N04881_10.jpg,Clare Atwood,John Gielguds Room
39,http://media.tate.org.uk/art/images/work/T/T07/T07631_10.jpg,Frank Auerbach,Sketch from Sickerts Lady Martin
40,http://media.tate.org.uk/art/images/work/N/N01/N01962_10.jpg,James Aumonier,The Black Mountains
41,http://media.tate.org.uk/art/images/work/T/T00/T00575_10.jpg,Milton Avery,Yellow Sky
42,http://media.tate.org.uk/art/images/work/T/T07/T07133_10.jpg,Michael Ayrton,Portrait of Wyndham Lewis
43,http://media.tate.org.uk/art/images/work/T/T01/T01450_10.jpg,John Henry F. Bacon,Michael Lewis Myers
44,http://media.tate.org.uk/art/images/work/T/T06/T06995_10.jpg,Sir Nathaniel Bacon,Cookmaid with Still Life of Vegetables and Fruit
45,http://media.tate.org.uk/art/images/work/T/T13/T13191_10.jpg,Mahmoud Bakhshi Moakhar,Air Pollution of Iran
46,http://media.tate.org.uk/art/images/work/T/T01/T01222_10.jpg,Giacomo Balla,Abstract Speed - The Car has Passed
47,http://media.tate.org.uk/art/images/work/T/T13/T13681_10.jpg,Fiona Banner,Spilt Nude
