,painting_name,painting_title,img_url,painting_artist
0,Backs,,http://media.tate.org.uk/art/images/work/T/T12/T12981_10.jpg,"Abakanowicz, Magdalena"
1,Illustration to Judith Shakespeare,,http://media.tate.org.uk/art/images/work/N/N03/N03992_10.jpg,"Abbey, Edwin Austin"
2,Portrait of the Engraver Francesco Bartolozzi,,http://media.tate.org.uk/art/images/work/T/T01/T01067_10.jpg,"Abbott, Lemuel Francis"
3,Zebe,,http://media.tate.org.uk/art/images/work/T/T13/T13592_10.jpg,"Abts, Tomma"
4,Five Sunsets in One Hour,,http://media.tate.org.uk/art/images/work/T/T03/T03562_10.jpg,"Ackling, Roger"
5,Cartmel Fell,,http://media.tate.org.uk/art/images/work/P/P77/P77815_10.jpg,"Ackroyd, Norman"
6,Composition: River in a Gorge,,http://media.tate.org.uk/art/images/work/T/T09/T09843_10.jpg,"Adam, Robert"
7,Winters Sleep,,,"Adams, Harry William"
8,Christs Cross and Adams Tree,,http://media.tate.org.uk/art/images/work/T/T05/T05820_10.jpg,"Adams, Norman"
9,The Mutilated,,http://media.tate.org.uk/art/images/work/T/T00/T00372_10.jpg,"Adler, Jankel"
10,The Cruise,,http://media.tate.org.uk/art/images/work/T/T07/T07229_10.jpg,"Adshead, Mary"
11,The Struggle,,,Afro
12,Figures in a Garden,,http://media.tate.org.uk/art/images/work/T/T06/T06749_10.jpg,"Agar, Eileen"
13,Lord Riverss Groom Leading a Chestnut Hunter towards a Coursing Party in Hampshire,,http://media.tate.org.uk/art/images/work/T/T02/T02351_10.jpg,"Agasse, Jacques Laurent"
14,Sunflower Seeds,,http://media.tate.org.uk/art/images/work/T/T13/T13408_10.jpg,"Ai, Weiwei"
15,Model and Dog,,http://media.tate.org.uk/art/images/work/T/T06/T06680_10.jpg,"Aitchison, Craigie"
16,Autumn,,,"Ajmone, Giuseppe"
17,Homage to the Square: Study for Nocturne,,http://media.tate.org.uk/art/images/work/T/T12/T12215_10.jpg,"Albers, Josef"
18,Head and Fruit,,http://media.tate.org.uk/art/images/work/T/T07/T07626_10.jpg,"Aldridge, John"
19,The Night,,http://media.tate.org.uk/art/images/work/P/P77/P77242_10.jpg,"Alechinsky, Pierre"
20,Peacock and Python,,,"Alexander, Edwin"
21,"View in Bridge Street, Northampton",,http://media.tate.org.uk/art/images/work/T/T08/T08735_10.jpg,"Alexander, William"
22,Camp Scene,,http://media.tate.org.uk/art/images/work/T/T09/T09621_10.jpg,Alken Family
23,A Hunting Scene,,http://media.tate.org.uk/art/images/work/T/T09/T09604_10.jpg,"Alken, Henry Thomas"
24,"A Gothic ?Abbey with Four Towers, Two of Them Octagonal",,http://media.tate.org.uk/art/images/work/T/T09/T09608_10.jpg,"Alken, Samuel, Senior"
25,"The Start of the Race in the Corso, Rome",,http://media.tate.org.uk/art/images/work/T/T08/T08119_10.jpg,"Allan, David"
26,Tartar Robbers Dividing Spoil,,http://media.tate.org.uk/art/images/work/N/N00/N00373_10.jpg,"Allan, Sir William"
27,A Landscape,,http://media.tate.org.uk/art/images/work/N/N01/N01904_10.jpg,"Allen, Joseph William"
28,Untitled Systems painting (six sections),,,"Allen, Richard"
29,Ibizan Waterfront,,,"Allinson, Adrian"
30,"South View of Lowther Castle, the Seat of William Lowther, Earl of Lonsdale, engraved by J. Thomas",,http://media.tate.org.uk/art/images/work/T/T06/T06384_10.jpg,"Allom, Thomas"
31,A Priestess of Apollo,,http://media.tate.org.uk/art/images/work/N/N04/N04949_10.jpg,"Alma-Tadema, Sir Lawrence"
32,Drawing (with pigment),,http://media.tate.org.uk/art/images/work/T/T13/T13491_10.jpg,"Almeida, Helena"
33,Black and White 55,,,"Altoon, John"
34,Portrait of a Man,,http://media.tate.org.uk/art/images/work/T/T08/T08734_10.jpg,"Amiconi, Giacomo"
35,Landscape from the Jura Mountains,,http://media.tate.org.uk/art/images/work/T/T00/T00394_10.jpg,"Amiet, Cuno"
36,Jersey,,http://media.tate.org.uk/art/images/work/T/T12/T12889_10.jpg,"Anderson, Hurvin"
37,Mountain Landscape with Dancing Shepherd,,http://media.tate.org.uk/art/images/work/T/T03/T03543_10.jpg,"Anderton, Henry"
38,Diamondback,,,"Andre, Carl"
39,Constructivist Space,,,"Andreenko, Michel"
40,Conversation Piece,,http://media.tate.org.uk/art/images/work/T/T00/T00789_10.jpg,"Angellis, Peter"
41,Two Studies for The Three Graces,,,"Anquetin, Louis"
42,Nude and Ruins,,http://media.tate.org.uk/art/images/work/T/T03/T03538_10.jpg,"Anrep, Boris"
43,A Ploughing Match,,http://media.tate.org.uk/art/images/work/N/N04/N04798_10.jpg,"Ansdell, Richard"
44,"Hip, Hip, Hoorah!",,http://media.tate.org.uk/art/images/work/T/T05/T05077_10.jpg,"Appel, Karel"
45,A Secret,,http://media.tate.org.uk/art/images/work/N/N03/N03029_10.jpg,"Appleyard, Fred"
46,Lovers,,,"Araeen, Rasheed"
47,View from the Window of My Studio in Kent,,http://media.tate.org.uk/art/images/work/T/T01/T01066_10.jpg,"Ardizzone, Edward"
48,"Missa Dura: The Knight, Crystal Night, House No. 5",,http://media.tate.org.uk/art/images/work/T/T00/T00608_10.jpg,"Ardon, Mordecai"
49,Jerusalem Seen from the South,,http://media.tate.org.uk/art/images/work/T/T06/T06638_10.jpg,"Arikha, Avigdor"
50,The Remorse of Judas,,http://media.tate.org.uk/art/images/work/N/N00/N00759_10.jpg,"Armitage, Edward"
51,Study for Pandarus,,,"Armitage, Kenneth"
52,Hero and Leander,,http://media.tate.org.uk/art/images/work/N/N02/N02054_10.jpg,"Armstead, Henry Hugh"
53,Tocsin III,,http://media.tate.org.uk/art/images/work/T/T01/T01061_10.jpg,"Armstrong, John"
54,View on the Ouse at York,,http://media.tate.org.uk/art/images/work/N/N01/N01156_10.jpg,"Arnald, George"
55,Moustaches,,http://media.tate.org.uk/art/images/work/T/T05/T05504_10.jpg,"Arp, Jean"
56,"Portrait of V.I. Lenin with Cap, in the Style of Jackson Pollock III",,http://media.tate.org.uk/art/images/work/T/T12/T12406_10.jpg,"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)"
57,A Dinner Party,,http://media.tate.org.uk/art/images/work/T/T08/T08736_10.jpg,"Artaud, William"
58,"The Studio, St Johns Wood",,,"Askew, Victor"
59,"Shakespeares Cliff, Dover",,http://media.tate.org.uk/art/images/work/T/T00/T00964_10.jpg,"Atkins, Samuel"
60,A Belgian Waggon with Four Horses,,http://media.tate.org.uk/art/images/work/T/T10/T10244_10.jpg,"Atkinson, John Augustus"
61,The Lake,,http://media.tate.org.uk/art/images/work/T/T00/T00717_10.jpg,"Atkinson, Lawrence"
62,"Postcard from Trotsky in Gdansk to Svetlana Stalin and Malcolm Muggeridge, dated 1983 The blood of Christ certainly passeth all understanding.",,,"Atkinson, Terry"
63,Baal the Warrior,,,"Atlan, Jean-Michel"
64,Untitled (Concrete Blocks),,,"Attia, Kader"
65,John Gielguds Room,,http://media.tate.org.uk/art/images/work/N/N04/N04881_10.jpg,"Atwood, Clare"
66,Sketch from Sickerts Lady Martin,,http://media.tate.org.uk/art/images/work/T/T07/T07631_10.jpg,"Auerbach, Frank"
67,The Black Mountains,,http://media.tate.org.uk/art/images/work/N/N01/N01962_10.jpg,"Aumonier, James"
68,Untitled (View of the Port at Onomatopoeia),,,"Avery, Charles"
69,Yellow Sky,,http://media.tate.org.uk/art/images/work/T/T00/T00575_10.jpg,"Avery, Milton"
70,Cottages and Trees,,http://media.tate.org.uk/art/images/work/T/T08/T08732_10.jpg,"Aylesford, Heneage Finch, Fifth Earl of"
71,[title not known],,http://media.tate.org.uk/art/images/work/T/T11/T11631_10.jpg,"Aylesford, Heneage Finch, Fourth Earl of"
72,Weddell,,,"Ayres, OBE Gillian"
73,Portrait of Wyndham Lewis,,http://media.tate.org.uk/art/images/work/T/T07/T07133_10.jpg,"Ayrton, Michael"
74,Untitled,,,"Baalbaki, Ayman"
75,Michael Lewis Myers,,http://media.tate.org.uk/art/images/work/T/T01/T01450_10.jpg,"Bacon, John Henry F."
76,Cookmaid with Still Life of Vegetables and Fruit,,http://media.tate.org.uk/art/images/work/T/T06/T06995_10.jpg,"Bacon, Sir Nathaniel"
77,Stations of the Spectrum (Primary),,http://media.tate.org.uk/art/images/work/T/T03/T03110_10.jpg,"Baer, Jo"
78,Fire! Fire!,,http://media.tate.org.uk/art/images/work/T/T01/T01777_10.jpg,"Baj, Enrico"
79,Air Pollution of Iran,,http://media.tate.org.uk/art/images/work/T/T13/T13191_10.jpg,"Bakhshi Moakhar, Mahmoud"
80,Abstract Speed - The Car has Passed,,http://media.tate.org.uk/art/images/work/T/T01/T01222_10.jpg,"Balla, Giacomo"
81,Pair-Bearing Matrix,,,"Banc, Jef"
82,Spilt Nude,,http://media.tate.org.uk/art/images/work/T/T13/T13681_10.jpg,"Banner, Fiona"
83,"Jonathan Griffin, Huntsman to the Earl of Derbys Staghounds",,http://media.tate.org.uk/art/images/work/T/T02/T02356_10.jpg,"Barenger, James"
84,Linnet Trumpets Agora,,,"Barham, Anna"
85,Any Morning,,http://media.tate.org.uk/art/images/work/N/N04/N04474_10.jpg,"Barker, Margaret"
86,Self-Portrait,,,"Barker, Thomas, of Bath"
87,[title not known],,http://media.tate.org.uk/art/images/work/T/T11/T11606_10.jpg,"Barlow, Francis"
88,Untitled,,http://media.tate.org.uk/art/images/work/T/T13/T13842_10.jpg,"Barlow, Phyllida"
89,Tivoli,,http://media.tate.org.uk/art/images/work/T/T09/T09428_10.jpg,"Barnard, Rev. William Henry"
90,Fatherhood,,http://media.tate.org.uk/art/images/work/P/P77/P77025_10.jpg,"Barni, Roberto"
91,"Lava Movement, La Geria",,http://media.tate.org.uk/art/images/work/T/T07/T07547_10.jpg,"Barns-Graham, Wilhelmina"
92,"Coast Scene, Isle of Wight",,http://media.tate.org.uk/art/images/work/T/T08/T08722_10.jpg,"Barret, George, Junior"
93,"River Scene with Watermill, Figures and Cows",,http://media.tate.org.uk/art/images/work/T/T01/T01881_10.jpg,"Barret, George, Senior"
94,The Children of George Bond of Ditchleys,,http://media.tate.org.uk/art/images/work/T/T01/T01882_10.jpg,"Barron, Hugh"
95,Stoke Pogis Church,,http://media.tate.org.uk/art/images/work/T/T08/T08588_10.jpg,"Barrow, Joseph Charles"
96,"Self-Portrait, Three Quarters to Left",,http://media.tate.org.uk/art/images/work/T/T10/T10438_10.jpg,"Barry, James"
97,Eros and Psyche,,http://media.tate.org.uk/art/images/work/T/T09/T09701_10.jpg,"Bartolozzi, Francesco"
98,The Anatomist,,http://media.tate.org.uk/art/images/work/P/P01/P01789_10.jpg,"Baskin, Leonard"
99,Highland Scene,,http://media.tate.org.uk/art/images/work/T/T03/T03210_10.jpg,"Bateman, James"
100,The Funeral Procession of Alexander the Great,,http://media.tate.org.uk/art/images/work/T/T00/T00466_10.jpg,"Bauchant, Andr"
101,Strasbourg Cathedral,,http://media.tate.org.uk/art/images/work/N/N04/N04588_10.jpg,"Bauer, Marius"
102,Emma Nelson by the Fire,,,"Bawden, Edward"
103,Pecos Bill had a Thing about Household Dust,,http://media.tate.org.uk/art/images/work/P/P13/P13004_10.jpg,"Baxter, Glen"
104,A Bather,,,"Baxter, Thomas Tennant"
105,Under the Candles: Mr Charles Ginner Presiding,,http://media.tate.org.uk/art/images/work/N/N04/N04738_10.jpg,"Bayes, Walter"
106,A Dark Pot with Roses,,,"Baynard, Ed"
107,Mammoth,,,"Baziotes, William"
108,Portrait of a Gentleman in a Green Robe,,http://media.tate.org.uk/art/images/work/T/T01/T01883_10.jpg,"Beach, Thomas"
109,"Sketch of the Artists Son, Bartholomew Beale, Facing Left",,http://media.tate.org.uk/art/images/work/T/T13/T13246_10.jpg,"Beale, Mary"
110,Frontispiece to Chopins Third Ballade,,http://media.tate.org.uk/art/images/work/T/T07/T07487_10.jpg,"Beardsley, Aubrey"
111,"Portrait of a Gentleman, possibly Hugh Marriott",,http://media.tate.org.uk/art/images/work/T/T00/T00201_10.jpg,"Beare, George"
112,[title not known],,http://media.tate.org.uk/art/images/work/T/T10/T10493_10.jpg,"Beaumont, Sir George Howland, Bt"
113,"Rome, the Tiber",,http://media.tate.org.uk/art/images/work/T/T09/T09475_10.jpg,"Becker, Ferdinand"
114,Carnival,,http://media.tate.org.uk/art/images/work/T/T03/T03294_10.jpg,"Beckmann, Max"
115,Portrait of Sir Francis Fords Children Giving a Coin to a Beggar Boy,,http://media.tate.org.uk/art/images/work/T/T06/T06734_10.jpg,"Beechey, Sir William"
116,The New English Art Club,,http://media.tate.org.uk/art/images/work/N/N06/N06075_10.jpg,"Beerbohm, Sir Max"
117,Decomposing,,http://media.tate.org.uk/art/images/work/N/N04/N04668_10.jpg,"Beeton, Alan"
118,A Small Matter,,,"Belcher, George"
119,Dover Front,,http://media.tate.org.uk/art/images/work/T/T00/T00905_10.jpg,"Bell, Graham"
120,Cardinal Bourchier Urges the Widow of Edward IV to Let her Son out of Sanctuary,,http://media.tate.org.uk/art/images/work/N/N01/N01392_10.jpg,"Bell, John Zephaniah"
121,Miss Annie Horniman,,,"Bell, Laura Anning"
122,Her Son,,http://media.tate.org.uk/art/images/work/N/N04/N04753_10.jpg,"Bell, Robert Anning"
123,Beached,,http://media.tate.org.uk/art/images/work/T/T13/T13405_10.jpg,"Bell, Trevor"
124,Studland Beach. Verso: Group of Male Nudes by Duncan Grant,,http://media.tate.org.uk/art/images/work/T/T02/T02080_10.jpg,"Bell, Vanessa"
125,My Grandmother,,,"Bellany, John"
126,Bird I,,http://media.tate.org.uk/art/images/work/T/T00/T00301_10.jpg,"Bellegarde, Claude"
127,Dragon-Flies,,http://media.tate.org.uk/art/images/work/N/N05/N05873_10.jpg,"Bellingham-Smith, Elinor"
128,Design for Music Cover,,http://media.tate.org.uk/art/images/work/T/T10/T10674_10.jpg,"Belloguet, A."
129,Classical Composition with Temple and Lake,,http://media.tate.org.uk/art/images/work/T/T09/T09461_10.jpg,"Benazech, Peter Paul"
