,img_url,painting_artist,painting_name
0,http://media.tate.org.uk/art/images/work/T/T12/T12981_10.jpg,Magdalena Abakanowicz,Backs
1,http://media.tate.org.uk/art/images/work/N/N03/N03992_10.jpg,Edwin Austin Abbey,Illustration to Judith Shakespeare
2,http://media.tate.org.uk/art/images/work/T/T01/T01067_10.jpg,Lemuel Francis Abbott,Portrait of the Engraver Francesco Bartolozzi
3,http://media.tate.org.uk/art/images/work/T/T13/T13592_10.jpg,Tomma Abts,Zebe
4,http://media.tate.org.uk/art/images/work/T/T03/T03562_10.jpg,Roger Ackling,Five Sunsets in One Hour
5,http://media.tate.org.uk/art/images/work/P/P77/P77815_10.jpg,Norman Ackroyd,Cartmel Fell
6,http://media.tate.org.uk/art/images/work/T/T09/T09843_10.jpg,Robert Adam,Composition: River in a Gorge
7,,Harry William Adams,Winters Sleep
8,http://media.tate.org.uk/art/images/work/T/T05/T05820_10.jpg,Norman Adams,Christs Cross and Adams Tree
9,http://media.tate.org.uk/art/images/work/T/T00/T00372_10.jpg,Jankel Adler,The Mutilated
10,http://media.tate.org.uk/art/images/work/T/T07/T07229_10.jpg,Mary Adshead,The Cruise
11,,Afro,The Struggle
12,http://media.tate.org.uk/art/images/work/T/T06/T06749_10.jpg,Eileen Agar,Figures in a Garden
13,http://media.tate.org.uk/art/images/work/T/T02/T02351_10.jpg,Jacques Laurent Agasse,Lord Riverss Groom Leading a Chestnut Hunter towards a Coursing Party in Hampshire
14,http://media.tate.org.uk/art/images/work/T/T13/T13408_10.jpg,Weiwei Ai,Sunflower Seeds
15,http://media.tate.org.uk/art/images/work/T/T06/T06680_10.jpg,Craigie Aitchison,Model and Dog
16,,Giuseppe Ajmone,Autumn
17,http://media.tate.org.uk/art/images/work/T/T12/T12215_10.jpg,Josef Albers,Homage to the Square: Study for Nocturne
18,http://media.tate.org.uk/art/images/work/T/T07/T07626_10.jpg,John Aldridge,Head and Fruit
19,http://media.tate.org.uk/art/images/work/P/P77/P77242_10.jpg,Pierre Alechinsky,The Night
20,,Edwin Alexander,Peacock and Python
21,http://media.tate.org.uk/art/images/work/T/T08/T08735_10.jpg,William Alexander,"View in Bridge Street, Northampton"
22,http://media.tate.org.uk/art/images/work/T/T09/T09621_10.jpg,Alken Family,Camp Scene
23,http://media.tate.org.uk/art/images/work/T/T09/T09604_10.jpg,Henry Thomas Alken,A Hunting Scene
24,http://media.tate.org.uk/art/images/work/T/T09/T09608_10.jpg,Samuel Alken Senior,"A Gothic ?Abbey with Four Towers, Two of Them Octagonal"
25,http://media.tate.org.uk/art/images/work/T/T08/T08119_10.jpg,David Allan,"The Start of the Race in the Corso, Rome"
26,http://media.tate.org.uk/art/images/work/N/N00/N00373_10.jpg,Sir William Allan,Tartar Robbers Dividing Spoil
27,http://media.tate.org.uk/art/images/work/N/N01/N01904_10.jpg,Joseph William Allen,A Landscape
28,,Richard Allen,Untitled Systems painting (six sections)
29,,Adrian Allinson,Ibizan Waterfront
30,http://media.tate.org.uk/art/images/work/T/T06/T06384_10.jpg,Thomas Allom,"South View of Lowther Castle, the Seat of William Lowther, Earl of Lonsdale, engraved by J. Thomas"
31,http://media.tate.org.uk/art/images/work/N/N04/N04949_10.jpg,Sir Lawrence Alma-Tadema,A Priestess of Apollo
32,http://media.tate.org.uk/art/images/work/T/T13/T13491_10.jpg,Helena Almeida,Drawing (with pigment)
33,,John Altoon,Black and White 55
34,http://media.tate.org.uk/art/images/work/T/T08/T08734_10.jpg,Giacomo Amiconi,Portrait of a Man
35,http://media.tate.org.uk/art/images/work/T/T00/T00394_10.jpg,Cuno Amiet,Landscape from the Jura Mountains
